"1","01010","札幌","2010-06-18 18:37:06","system  ","2013-04-10 11:27:23","system  ","c"
"2","02020","仙台","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"3","01030","北海道南","2010-06-18 18:37:06","system  ","2013-04-10 11:27:23","system  ","c"
"4","01040","北海道北","2010-06-18 18:37:06","system  ","2013-04-10 11:27:23","system  ","c"
"5","02050","青森","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"6","02060","岩手","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"7","02070","仙台都市圏","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"8","02080","宮城郊外","2010-06-18 18:37:06","system  ","2010-06-23 09:11:54","01092396","c"
"9","02090","秋田","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"10","02100","山形","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"11","02110","福島","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"12","03010","銀座・日比谷・有楽町","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"13","03020","丸の内・八重洲","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"14","03030","日本橋","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"15","03040","上野","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"16","03050","りんかい","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"17","03060","錦糸町・亀戸","2010-06-18 18:37:06","system  ","2010-07-30 17:37:12","system  ","c"
"18","03070","北千住","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"19","03080","水戸","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"20","03090","茨城郊外","2010-06-18 18:37:06","system  ","2010-06-23 09:12:06","01092396","c"
"21","03100","つくば・小山","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"22","03110","千葉","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"23","03120","千葉南","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"24","03130","千葉北","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"25","03140","船橋","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"26","03150","津田沼","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"27","03160","柏","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"28","04010","新宿","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"29","04020","渋谷","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"30","04030","原宿・青山","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"31","04040","恵比寿・代官山","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"32","04050","目黒・大森・蒲田","2010-06-18 18:37:06","system  ","2010-07-30 17:37:12","system  ","c"
"33","04060","調布・多摩","2010-06-18 18:37:06","system  ","2010-07-30 17:37:12","system  ","c"
"34","04070","吉祥寺・荻窪","2010-06-18 18:37:06","system  ","2010-07-30 17:37:12","system  ","c"
"35","04080","立川","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"36","04090","八王子","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"37","04100","山梨","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"38","04110","長野","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"39","05010","池袋","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"40","05020","宇都宮","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"41","05030","両毛","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"42","05040","前橋・高崎","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"43","05050","大宮","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"44","05060","浦和","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"45","05070","川越","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"46","05080","熊谷","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"47","05090","赤羽・川口・戸田","2010-06-18 18:37:06","system  ","2010-07-30 17:37:12","system  ","c"
"48","05100","所沢","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"49","05110","春日部・越谷","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"50","05120","新潟","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"51","05130","新潟郊外","2010-06-18 18:37:06","system  ","2010-06-23 09:12:16","01092396","c"
"52","05140","長岡・上越","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"53","06010","横浜","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"54","06020","町田・相模原","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"55","06030","二子玉川","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"56","06040","溝口・たまプラーザ","2010-06-18 18:37:06","system  ","2010-07-30 17:37:12","system  ","c"
"57","06050","厚木","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"58","06060","みなとみらい","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
"59","06070","戸塚・上大岡","2010-06-18 18:37:06","system  ","2010-07-30 17:37:12","system  ","c"
"60","06080","港北","2010-06-18 18:37:06","system  ","2010-06-18 18:37:06","system  ","a"
