"1","0151","その他G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"2","1000","高島屋G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"3","1020","ｾﾌﾞﾝ&ｱｲ･ﾎｰﾙﾃﾞｨﾝｸﾞｽG","ｾﾌﾞﾝ&ｱｲ ﾎｰﾙﾃﾞｨﾝｸﾞｽ","2010-05-14 19:38:24","system  ","2014-02-06 10:34:57","13001861","c"
"4","1021","西武商事G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"5","1022","西武ﾎｰﾙﾃﾞｨﾝｸﾞｽG","ｾｲﾌﾞﾎｰﾙﾃﾞｨﾝｸﾞｽ","2010-05-14 19:38:24","system  ","2014-02-06 10:25:18","13001861","c"
"6","1030","西友G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"7","1040","Jﾌﾛﾝﾄ ﾘﾃｲﾘﾝｸﾞG","Jﾌﾛﾝﾄ ﾘﾃｲﾘﾝｸﾞ","2010-05-14 19:38:24","system  ","2014-02-06 10:25:48","13001861","c"
"8","1042","藤井大丸G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"9","1050","東急G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"10","1051","東急不動産G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"11","1060","三越伊勢丹ﾎｰﾙﾃﾞｨﾝｸﾞｽG","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"12","1070","丸井G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"13","1090","ｴｲﾁ･ﾂｰ･ｵｰ ﾘﾃｲﾘﾝｸﾞG","ｴｲﾁ ﾂｰ ｵｰ ﾘﾃｲﾘﾝｸﾞ","2010-05-14 19:38:24","system  ","2014-02-06 10:36:07","13001861","c"
"14","1094","阪急電鉄G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"15","1100","近鉄G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"16","1110","小田急G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"17","1111","小田急電鉄G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"18","1150","丸広百貨店G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"19","1160","京王G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"20","1161","京王電鉄G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"21","1180","天満屋G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"22","1210","大和G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"23","1240","名古屋鉄道G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"24","1260","ﾄｷﾊG","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"25","1270","鶴屋G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"26","1280","山形屋G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"27","1290","丸栄G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"28","1300","井筒屋G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"29","1350","東武G","","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
