"1","01","仕入（製品）","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"2","02","仕入（原料）","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"3","03","仕入（売仕）","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"4","04","仕入（その他）","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"5","05","売上（売仕）","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"6","06","売上（VSPA）","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"7","07","売上（SPA買取）","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"8","08","売上（卸　新売契）","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"9","09","売上（WEB）","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"10","10","売上（その他）","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"11","11","販売代行","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"12","12","賃貸借（事業）","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"13","13","賃貸借（事務所・家屋）","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"14","14","業務委託（店舗）","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"15","15","業務委託（DP･OP）","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"16","16","業務委託（WEB）","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"17","17","業務委託（システム）","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"18","18","業務委託（生産）","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"19","19","業務委託（その他）","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"20","20","ライセンス","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"21","21","売買（固定資産）","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"22","22","その他","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"23","23","売仕","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"24","24","売仕(包括）","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
