"00"," "," ","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"01","北海道","北海道","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"02","青森県","青森","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"03","岩手県","岩手","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"04","宮城県","宮城","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"05","秋田県","秋田","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"06","山形県","山形","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"07","福島県","福島","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"08","茨城県","茨城","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"09","栃木県","栃木","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"10","群馬県","群馬","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"11","埼玉県","埼玉","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"12","千葉県","千葉","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"13","東京都","東京","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"14","神奈川県","神奈川","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"15","新潟県","新潟","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"16","富山県","富山","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"17","石川県","石川","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"18","福井県","福井","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"19","山梨県","山梨","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"20","長野県","長野","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"21","岐阜県","岐阜","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"22","静岡県","静岡","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"23","愛知県","愛知","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"24","三重県","三重","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"25","滋賀県","滋賀","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"26","京都府","京都","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"27","大阪府","大阪","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"28","兵庫県","兵庫","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"29","奈良県","奈良","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"30","和歌山県","和歌山","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"31","鳥取県","鳥取","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"32","島根県","島根","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"33","岡山県","岡山","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"34","広島県","広島","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"35","山口県","山口","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"36","徳島県","徳島","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"37","香川県","香川","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"38","愛媛県","愛媛","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"39","高知県","高知","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"40","福岡県","福岡","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"41","佐賀県","佐賀","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"42","長崎県","長崎","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"43","熊本県","熊本","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"44","大分県","大分","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"45","宮崎県","宮崎","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"46","鹿児島県","鹿児島","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"47","沖縄県","沖縄","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
"49","海外","海外","2010-05-14 19:38:24","system  ","2010-05-14 19:38:24","system  ","a"
