"1","001001","ｵｿﾞｯｸ","486","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"2","001004","ﾎﾞｲｺｯﾄ","487","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"3","001005","ｲﾝﾃﾞｨｳﾞｨ","488","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"4","001007","ﾏﾄﾘｰﾁｪ","490","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"5","001010","ﾀｹｵｷｸﾁ","491","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"6","001014","TKﾀﾞｯｼｭ","492","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"7","001015","TK","493","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"8","001016","TKGPｿﾉﾀ","494","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"9","001019","ｱﾝﾀｲﾄﾙ","495","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"10","001020","ｸｰﾄﾞｼｬﾝｽ","496","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"11","001026","旧STYLE JAM","498","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"12","001030","ﾏﾘｰｼﾞｮﾝﾃｨｰﾕ","500","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"13","001037","ｱｾｲﾌｧ","503","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"14","001038","ﾋﾞｰﾆｰ","504","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"15","001071","旧ｷｮｳｲﾁﾌｼﾞﾀ","521","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"16","001072","ｱﾅﾄﾘｴ","522","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"17","001076","ﾊﾞｰﾁｬﾙｽﾄｱ部","524","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"18","001078","ｻﾝｸﾁｭｴ","525","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"19","001085","COR","528","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"20","001140","V-ｽﾄｱ","544","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"21","001150","Soul of Freedom","546","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"22","001208","ｽﾄｱ雑貨(FG開発)","561","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"23","001245","LIZA Lavenue","577","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"24","001265","sausalito GOODS-PJT","581","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"25","001285","ｱﾀﾞﾊﾞｯﾄ(海外)","585","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"26","001305","ｸﾗｯﾌﾟｺｰﾄ","589","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"27","001315","Flavor mieux","591","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"28","001345","ｱﾊﾟﾚﾙ開発Ⅱ(ｷｱﾗﾍﾟﾙﾗ)","597","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"29","001350","ﾍﾞﾙｽ ｸﾛｰｾﾞｯﾄ","598","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"30","001355","ｺﾓﾃﾞｨﾃｨｱｳﾄﾚｯﾄｽﾄｱ","599","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"31","001395","ﾋﾟﾝｸﾗﾃ","607","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"32","001440","ｺｯｺﾗｰﾚ","618","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"33","001450","HECTIC","620","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"34","001565","ｼｰｸﾚｯﾄｷｬﾝﾃﾞｨ","644","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"35","001680","ﾌﾞﾗｳﾝﾊﾞﾆｰ","668","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"36","001700","ﾎｯﾄﾋﾞｰﾄPJT","672","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
"37","001725","ﾚｯｸﾞｳｪｱPJT","677","2010-05-14 19:38:27","system    ","2010-05-14 19:38:27","system    ","a"
